NETWERK 1
NODES 15668
1315 1450 182
1316 1807 182
1317 2513 182
1318 2518 182
1319 2713 182
1320 2714 182
1321 -23 183
1322 2148 183
1323 2176 183
1324 1453 184
1325 2720 184
1326 2732 184
1327 2743 184
1328 173 185
1329 352 185
1330 1453 185
1331 1895 185
1332 1940 185
1333 1962 185
1334 2901 185
1335 -26 186
1336 1485 186
1337 1804 186
1338 1862 186
1339 1895 186
1340 2640 186
1341 2686 186
1342 2709 186
1343 2839 186
1344 47 187
1345 218 187
1346 1456 187
1347 2235 187
1348 2583 187
1349 2610 187
1350 2839 187
1351 1434 188
1352 2206 188
1353 91 189
1354 1829 189
1355 2721 189
1356 17 190
1357 264 190
1358 796 190
1359 811 190
1360 1433 190
1361 1697 190
1362 1763 190
1363 1788 190
1364 1804 190
1365 136 191
1366 924 191
1367 931 191
1368 1631 191
1369 1658 191
1370 287 192
1371 1412 192
1372 1788 192
1373 2110 192
1374 2136 192
1375 2786 192
1376 333 193
1377 2235 193
1378 2640 193
1379 1862 194
1380 2195 194
1381 2215 194
1382 2610 194
1383 1300 195
1384 1457 195
1385 1829 195
1386 2176 195
1387 2639 195
1388 12 196
1389 162 196
1390 956 196
1391 2686 196
1392 931 197
1393 932 197
1394 1532 197
1395 1564 197
1396 2656 197
1397 2786 197
1398 36 198
1399 208 198
1400 1485 198
1401 1518 198
1402 2309 198
1403 -40 199
1404 81 199
1405 1101 199
1406 2250 199
1407 2280 199
1408 253 200
1409 1435 200
1410 2508 200
1411 2610 200
1412 330 201
1413 991 201
1414 1413 201
1415 2466 201
1416 2564 201
1417 2583 201
1418 2587 201
1419 2813 201
1420 2840 201
1421 126 202
1422 2177 202
1423 2421 202
1424 2519 202
1425 2542 202
1426 2786 202
1427 276 203
1428 2148 203
1429 2908 203
1430 1167 204
1431 960 205
1432 1101 205
1433 2840 205
1434 1 206
1435 151 206
1436 929 206
1437 931 206
1438 2895 206
1439 2909 206
1440 582 207
1441 891 207
1442 903 207
1443 906 207
1444 915 207
1445 960 207
1446 1443 207
1447 2877 207
1448 25 208
1449 827 208
1450 867 208
1451 870 208
1452 879 208
1453 888 208
1454 2910 208
1455 197 209
1456 328 209
1457 570 209
1458 827 209
1459 839 209
1460 842 209
1461 851 209
1462 854 209
1463 70 210
1464 570 210
1465 581 210
1466 769 210
1467 773 210
1468 781 210
1469 794 210
1470 797 210
1471 812 210
1472 1458 210
1473 1485 210
1474 242 211
1475 507 211
1476 522 211
1477 552 211
1478 711 211
1479 727 211
1480 733 211
1481 739 211
1482 745 211
1483 757 211
1484 1804 211
1485 1830 211
1486 1896 211
1487 2751 211
1488 2764 211
1489 2769 211
1490 2786 211
1491 674 212
1492 690 212
1493 702 212
1494 1763 212
1495 1789 212
1496 1863 212
1497 2733 212
1498 115 213
1499 638 213
1500 650 213
1501 656 213
1502 662 213
1503 1863 213
1504 2137 213
1505 265 214
1506 606 214
1507 620 214
1508 1830 214
1509 2111 214
1510 310 215
1511 1533 215
1512 1565 215
1513 2669 215
1514 2687 215
1515 1485 216
1516 1518 216
1517 1763 216
1518 2610 216
